Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Severity,Crash_Time,Crash_Year,Day_of_Week,Hour_of_Day,Intersecting_Street_Name,Latitude,Longitude,Speed_Limit,Street_Name,Person_Death_Count,Person_Injury_Severity,Person_Type,KABCO_USD_Value
21189054,True,2025-12-14,B - SUSPECTED MINOR INJURY,430,2025,SUNDAY,4 AM,N CLARK DR,31.77702484,-106.41243034,40,TROWBRIDGE DR,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21189526,True,2025-12-16,C - POSSIBLE INJURY,1910,2025,TUESDAY,7 PM,RALPH SEITSINGER DR,31.78962354,-106.22526697,35,RALPH SEITSINGER DR,0,C - POSSIBLE INJURY,Cyclist,151600
21190260,True,2025-12-20,C - POSSIBLE INJURY,2005,2025,SATURDAY,8 PM,W SAN ANTONIO AVE,31.75720485,-106.48999033,30,N SANTA FE ST,0,C - POSSIBLE INJURY,Pedestrian,151600
21205116,True,2025-12-29,N - NOT INJURED,1752,2025,MONDAY,5 PM,N YARBROUGH DR,31.75638484,-106.34222036,35,VISTA DEL SOL DR,0,N - NOT INJURED,Pedestrian,0
21228129,True,2026-01-04,B - SUSPECTED MINOR INJURY,1616,2026,SUNDAY,4 PM,SHADOW WILLOW DR,31.82113484,-106.5844703,30,LAZY WILLOW DR,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21216267,True,2026-01-05,B - SUSPECTED MINOR INJURY,1237,2026,MONDAY,12 PM,HUCKLEBERRY ST,31.78036484,-106.42916034,40,E YANDELL DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21251934,True,2026-01-07,C - POSSIBLE INJURY,720,2026,WEDNESDAY,7 AM,GERALD DR,31.77967484,-106.38095035,20,VISCOUNT BLVD,0,C - POSSIBLE INJURY,Pedestrian,151600
21234806,True,2026-01-09,B - SUSPECTED MINOR INJURY,804,2026,FRIDAY,8 AM,SAUL KLEINFELD DR,31.78944484,-106.28509037,35,SNOW CLOUD CT,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21234213,True,2026-01-11,B - SUSPECTED MINOR INJURY,133,2026,SUNDAY,1 AM,PUEBLO ST,31.78046484,-106.43100034,35,E YANDELL DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21224208,True,2026-01-12,B - SUSPECTED MINOR INJURY,1100,2026,MONDAY,11 AM,TRAWOOD DR,31.76463484,-106.30815037,30,DALE DOUGLAS DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21225166,True,2026-01-12,C - POSSIBLE INJURY,1747,2026,MONDAY,5 PM,E SCHUSTER AVE,31.77867485,-106.48722032,30,BROWN ST,0,C - POSSIBLE INJURY,Pedestrian,151600
21242262,True,2026-01-12,B - SUSPECTED MINOR INJURY,952,2026,MONDAY,9 AM,RABE CT,31.70240485,-106.32152037,-1,N ZARAGOZA RD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21236088,True,2026-01-19,N - NOT INJURED,1820,2026,MONDAY,6 PM,E FATHER RAHM AVE,31.75345485,-106.48321033,30,S KANSAS ST,0,N - NOT INJURED,Pedestrian,0
21236088,True,2026-01-19,N - NOT INJURED,1820,2026,MONDAY,6 PM,E FATHER RAHM AVE,31.75345485,-106.48321033,30,S KANSAS ST,0,N - NOT INJURED,Pedestrian,0
21236088,True,2026-01-19,N - NOT INJURED,1820,2026,MONDAY,6 PM,E FATHER RAHM AVE,31.75345485,-106.48321033,30,S KANSAS ST,0,N - NOT INJURED,Pedestrian,0
21236088,True,2026-01-19,N - NOT INJURED,1820,2026,MONDAY,6 PM,E FATHER RAHM AVE,31.75345485,-106.48321033,30,S KANSAS ST,0,N - NOT INJURED,Pedestrian,0
21236088,True,2026-01-19,N - NOT INJURED,1820,2026,MONDAY,6 PM,E FATHER RAHM AVE,31.75345485,-106.48321033,30,S KANSAS ST,0,N - NOT INJURED,Pedestrian,0
21245548,True,2026-01-19,B - SUSPECTED MINOR INJURY,1424,2026,MONDAY,2 PM,N MESA ST,31.79533484,-106.51119032,35,EXECUTIVE CENTER BLVD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21243558,True,2026-01-21,C - POSSIBLE INJURY,1145,2026,WEDNESDAY,11 AM,N KANSAS ST,31.77512485,-106.49887032,30,KERBEY AVE,0,C - POSSIBLE INJURY,Pedestrian,151600
21249583,True,2026-01-28,C - POSSIBLE INJURY,700,2026,WEDNESDAY,7 AM,OJO DE AGUA DR,31.86172483,-106.52402031,30,VIA DESCANSO DR,0,C - POSSIBLE INJURY,Cyclist,151600
21256940,True,2026-01-30,C - POSSIBLE INJURY,1845,2026,FRIDAY,6 PM,HUNTER DR,31.75235484,-106.36517035,30,MAZATLAN DR,0,C - POSSIBLE INJURY,Pedestrian,151600
21277759,True,2026-02-02,B - SUSPECTED MINOR INJURY,1704,2026,MONDAY,5 PM,,31.75143485,-106.47599033,30,E 9TH AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21262138,True,2026-02-03,B - SUSPECTED MINOR INJURY,1345,2026,TUESDAY,1 PM,ELM ST,31.78864484,-106.46240033,30,GOLD AVE,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21263664,True,2026-02-05,B - SUSPECTED MINOR INJURY,804,2026,THURSDAY,8 AM,,31.79721483,-106.24841038,35,R C POE RD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21265847,True,2026-02-05,A - SUSPECTED SERIOUS INJURY,1932,2026,THURSDAY,7 PM,AMECA ST,31.74379485,-106.35847036,30,ADOBE DR,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
21276571,True,2026-02-06,B - SUSPECTED MINOR INJURY,1640,2026,FRIDAY,4 PM,EDGEMERE BLVD,31.79216483,-106.27636037,35,NOLAN RICHARDSON DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21293830,True,2026-02-24,B - SUSPECTED MINOR INJURY,718,2026,TUESDAY,7 AM,STONE GATE LN,31.72799484,-106.27943037,35,WHIRLAWAY DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21299226,True,2026-02-26,B - SUSPECTED MINOR INJURY,1540,2026,THURSDAY,3 PM,YERMOLAND DR,31.73507485,-106.33373036,35,LOMALAND DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
